record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
B2E0001,Person,P000063,name,古野 拓巳,B2S0001,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0002,Person,P000063,name_en,Takumi Furuno,B2S0001,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0003,Person,P000063,birth_date,1993-02-20,B2S0001,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0004,Career,C000211,organization_id,ORG000091,B2S0001,クラブ所属履歴 > 最新掲載,愛媛オレンジバイキングスを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0005,Career,C000211,role,Player,B2S0001,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0008,Person,P000038,name,内尾 聡理,B2S0002,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0009,Person,P000038,name_en,Sori Uchio,B2S0002,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0010,Person,P000038,birth_date,2001-04-12,B2S0002,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0011,Career,C000107,organization_id,ORG000048,B2S0002,クラブ所属履歴 > 最新掲載,佐賀バルーナーズを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0012,Career,C000107,role,Player,B2S0002,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0015,Person,P000037,name,鵤 誠司,B2S0003,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0016,Person,P000037,name_en,Seiji Ikaruga,B2S0003,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0017,Person,P000037,birth_date,1994-01-08,B2S0003,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0018,Career,C000103,organization_id,ORG000047,B2S0003,クラブ所属履歴 > 最新掲載,宇都宮ブレックスを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0019,Career,C000103,role,Player,B2S0003,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0022,Person,P000041,name,狩野 祐介,B2S0004,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0023,Person,P000041,name_en,Yusuke Karino,B2S0004,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0024,Person,P000041,birth_date,1990-04-18,B2S0004,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0025,Career,C000129,organization_id,ORG000040,B2S0004,クラブ所属履歴 > 最新掲載,ライジングゼファー福岡を最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0026,Career,C000129,role,Player,B2S0004,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0029,Person,P000042,name,並里 成,B2S0005,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
B2E0030,Person,P000042,name_en,Narito Namizato,B2S0005,基本情報 > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-19,
B2E0031,Person,P000042,birth_date,1989-08-07,B2S0005,基本情報 > 生年月日,B.LEAGUE公式プロフィールの生年月日,SUPPORTED,2026-09-19,
B2E0032,Career,C000140,organization_id,ORG000055,B2S0005,クラブ所属履歴 > 最新掲載,横浜ビー・コルセアーズを最新の所属履歴として掲載,SUPPORTED,2026-09-19,開始・終了時期は今回の最小取込対象外
B2E0033,Career,C000140,role,Player,B2S0005,選手プロフィール,B.LEAGUE選手プロフィールとして掲載,SUPPORTED,2026-09-19,
B2E0036,Person,P000039,name,渡辺 竜之佑,B2S0006,基本情報 > 選手名,B.LEAGUE公式プロフィールの選手名,SUPPORTED,2026-09-19,
