career_id,person_id,organization_id,role,start,end
C000010,P000010,ORG000010,Player,,
C000014,P000014,ORG000010,Player,,
C000030,P000014,ORG000019,Player,,
C000031,P000010,ORG000018,Player,,
C000047,P000029,ORG000010,Player,,
C000048,P000030,ORG000010,Player,,
C000049,P000031,ORG000010,Player,,
C000050,P000032,ORG000010,Player,,
C000051,P000033,ORG000010,Player,,
C000052,P000034,ORG000010,Player,,
C000054,P000035,ORG000010,Player,,
C000055,P000036,ORG000010,,,
C000056,P000037,ORG000010,Player,,
C000057,P000038,ORG000010,Player,,
C000058,P000039,ORG000010,Player,,
C000059,P000040,ORG000010,Player,,
C000060,P000041,ORG000010,,,
C000061,P000042,ORG000010,,,
C000062,P000043,ORG000010,Player,,
C000067,P000035,ORG000020,Player,2020,2022
C000068,P000036,ORG000020,Player,2018,
C000069,P000037,ORG000030,Player,,
C000070,P000038,ORG000016,Player,2020,
C000071,P000039,ORG000018,Player,,
C000072,P000040,ORG000031,Player,,
C000073,P000041,ORG000015,Player,,
C000074,P000042,ORG000032,Player,2008,2009
C000075,P000043,ORG000015,Player,2019,
C000076,P000063,ORG000019,Player,,
C000088,P000035,ORG000043,Player,,
C000092,P000036,ORG000046,Player,,
C000103,P000037,ORG000047,Player,,
C000107,P000038,ORG000048,Player,,
C000117,P000039,ORG000042,Player,,
C000120,P000040,ORG000050,Player,,
C000129,P000041,ORG000040,Player,,
C000140,P000042,ORG000055,Player,,
C000210,P000063,ORG000010,,,
C000211,P000063,ORG000091,Player,,
C000212,P000043,ORG000092,Player,2026,
C000214,P000029,ORG000020,Player,,
C000215,P000031,ORG000030,Player,,
C000216,P000032,ORG000094,Player,,
C000217,P000033,ORG000095,Player,,
C000218,P000034,ORG000096,Player,,
C000219,P000064,ORG000010,Player,,
C000220,P000064,ORG000015,Player,,
C000221,P000064,ORG000097,Player,,
C000222,P000064,ORG000055,Player,,
C000223,P000064,ORG000098,Player,,
C000224,P000065,ORG000010,Player,,
C000225,P000065,ORG000019,Player,,
C000226,P000065,ORG000097,Player,,
C000229,P000066,ORG000090,Player,2026,2026
C000230,P000067,ORG000010,Player,,
C000231,P000067,ORG000100,Player,,
C000232,P000068,ORG000010,,,
C000233,P000068,ORG000018,Player,,
C000234,P000068,ORG000040,Player,,
C000235,P000068,ORG000050,Player,,
C000236,P000069,ORG000010,,,
C000237,P000069,ORG000018,Player,,
C000238,P000069,ORG000040,Player,,
C000239,P000069,ORG000100,Player,,
C000240,P000014,ORG000101,Player,,
C000241,P000014,ORG000090,Player,,
C000242,P000070,ORG000010,,,
C000243,P000070,ORG000015,,,
C000244,P000070,ORG000104,Player,,
C000245,P000070,ORG000054,Player,,
C000246,P000070,ORG000067,Player,,
C000247,P000070,ORG000052,Player,,
C000248,P000070,ORG000040,Player,,
C000249,P000070,ORG000102,Player,,
C000250,P000070,ORG000103,Player,,
