source_id,title,publisher,url,accessed_at
B2S0000,ワタシノB.LEAGUE選手一覧｜福岡第一高等学校,B.LEAGUE,https://www.bleague.jp/mybleague_list/?TagID=35:%E7%A6%8F%E5%B2%A1%E7%AC%AC%E4%B8%80%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1,2026-09-19
B2S0001,古野 拓巳 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=9348,2026-09-19
B2S0002,内尾 聡理 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000353,2026-09-19
B2S0003,鵤 誠司 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=8529,2026-09-19
B2S0004,狩野 祐介 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=8463,2026-09-19
B2S0005,並里 成 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=9489,2026-09-19
B2S0006,渡辺 竜之佑 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=9329,2026-09-19
B2S0007,松崎 裕樹 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000227,2026-09-19
B2S0008,小川 麻斗 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=5100000033,2026-09-19
B2S0009,神田 壮一郎 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000380,2026-09-19
B2S0010,井手 拓実 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000110,2026-09-19
B2S0011,#24 松崎裕樹選手 新規入団のお知らせ,レバンガ北海道,https://www.levanga.com/news/detail/id=22266,2026-09-19
B2S0012,第95回天皇杯 福岡第一高等学校ロスター,日本バスケットボール協会,https://zennihon2019-20.japanbasketball.jp/team/fukuoka-men/,2026-09-19
B2S0013,ウインターカップ2019 現地レポート21,日本バスケットボール協会,https://wintercup2019.japanbasketball.jp/report/1119/,2026-09-19
B2S0014,第72回インカレ 中央大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/122/type/intercollege/y/2020/s/men,2026-09-19
B2S0015,第75回インカレ 中央大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/122/type/intercollege/y/2023/s/men,2026-09-19
B2S0016,平成22年度男子U-18日本代表 第4次強化合宿,日本バスケットボール協会,https://japanbasketball.jp/event/news_detail-php-news_id%3D1029.html,2026-09-19
B2S0017,第19回日・韓・中ジュニア交流競技会 日本代表メンバー,日本バスケットボール協会,https://japanbasketball.jp/event/news_detail-php-news_id%3D4735.html,2026-09-19
B2S0018,第6回東アジア競技大会 男子日本代表選手発表,日本バスケットボール協会,https://japanbasketball.jp/japan/4853,2026-09-19
B2S0019,福岡第一高等学校 学校案内2022,福岡第一高等学校,https://f.f-parama.ed.jp/wp-content/uploads/2022/01/panf2022.pdf,2026-09-19
B2S0020,2011年度 松前重義賞 受領者一覧,東海大学,https://www.u-tokai.ac.jp/uploads/2021/03/2011univ.pdf,2026-09-19
B2S0021,第1回奨学生の近況報告 並里成,スラムダンク奨学金事務局,https://slamdunk-sc.shueisha.co.jp/report/report01.html,2026-09-19
B2S0022,並里レポート vol.3,スラムダンク奨学金事務局,https://slamdunk-sc.shueisha.co.jp/sp/common/data/namisato_vol3.pdf,2026-09-19
B2S0023,オールジャパン2011 東海大学ボックススコア,日本バスケットボール協会,https://japanbasketball.jp/alljapan/2011/pbp_team-php-game_id%3D10222%26q%3D95.html,2026-09-19
B2S0024,第22回FIBA ASIA U-18男子日本代表チーム,日本バスケットボール協会,https://japanbasketball.jp/event/fac_u18_men/2012/japan/,2026-09-19
B2S0025,第67回インカレ 専修大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/25/type/intercollege/y/2015/s/men,2026-09-19
B2S0026,第68回インカレ 専修大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/25/type/intercollege/y/2016/s/men,2026-09-19
B2S0027,平成28年度男子U-18日本代表候補メンバー表,日本バスケットボール協会,https://www.japanbasketball.jp/wp-content/uploads/H28_U18men_member_camp_161122.pdf,2026-09-19
