career_id,person_id,organization_id,role,start,end
C000210,P000063,ORG000010,Player,,
C000211,P000063,ORG000091,Player,,
C000057,P000038,ORG000010,Player,,
C000107,P000038,ORG000048,Player,,
C000056,P000037,ORG000010,Player,,
C000103,P000037,ORG000047,Player,,
C000060,P000041,ORG000010,Player,,
C000129,P000041,ORG000040,Player,,
C000061,P000042,ORG000010,Player,,
C000140,P000042,ORG000055,Player,,
C000058,P000039,ORG000010,Player,,
C000117,P000039,ORG000042,Player,,
C000062,P000043,ORG000010,Player,,
C000212,P000043,ORG000092,Player,2026,
C000054,P000035,ORG000010,Player,,
C000088,P000035,ORG000043,Player,,
C000059,P000040,ORG000010,Player,,
C000120,P000040,ORG000050,Player,,
C000055,P000036,ORG000010,Player,,
C000092,P000036,ORG000046,Player,,
C000070,P000038,ORG000016,Player,2020,
C000069,P000037,ORG000030,Player,,
C000073,P000041,ORG000015,Player,,
C000074,P000042,ORG000032,Player,2008,2009
C000071,P000039,ORG000018,Player,,
C000075,P000043,ORG000015,Player,2019,
C000067,P000035,ORG000020,Player,2020,2022
C000072,P000040,ORG000031,Player,,
C000068,P000036,ORG000020,Player,2018,
C000076,P000063,ORG000019,Player,,
